"codigo","nombre", "url", "categoria"
"ACEITE DE SOJA+RIO DE LA PLATA+900ML", "ACEITE DE SOJA RIO DE LA PLATA 900ML", "http://www.tinglesa.com.uy/producto.php?idarticulo=7799", "Canasta"
"ACEITE DE SOJA+RIO DE LA PLATA+900ML", "ACEITE SOJA RIO DE LA PLATA - BT .9 LT", "http://www.devoto.com.uy/mvdcommerce/servlet/hdetalleproductop?2,1,1914,0,0,1", "Canasta"
"ACEITE DE SOJA+RIO DE LA PLATA+900ML", "ACEITE RIO DE LA PLATA SOJA 90", "http://www.multiahorro.com.uy/Product.aspx?p=93082", "Canasta"
